date,score,content
2025년 11월 6일,5,"다른 배달 어플보다 쿠폰 주는 이벤트도 현저히 낮은데다가 구독자 대상으로 하는 할인도 너무 없어요. 배민은 그동안 1위였다는 위치에 너무 안주하고 익숙해져서 계속해서 경영 방식의 개선은 없이 수익만 낼 욕심이 가득한 게 너무 눈에 보여서 매우 실망스럽습니다. 쿠팡이츠, 요기요도 모두 구독하고있고 두곳은 혜택도 꽤 있지만 배민은 그냥 구독자를 위한 혜택이 없다고 봅니다. 그나마 요즘 하고 있는 푸드 페스타 때문에 드디어 정신을 차렸구나 싶었는데 며칠전부터 그 혜택도 교묘하게 못 쓰게 배민페이 전용 쿠폰이나 꽝만 나오네요... 사실 이 부분 때문에 너무 화가 나서 리뷰 쓰러 온 겁니다. 구독하는 소비자를 상대로 꼭 이렇게까지 하셔야 하나요? 원래 한달전쯤에 구독 해지하려고 해지 예약까지 걸어뒀었는데 가게들이 배민 가입된 곳이 많아서 어쩔 수 없이 재구독했는데 정말 해지하고 싶습니다. 여기 운영 방식이 너무 돈 욕심만 가득하신 게 보여서 소비자 입장에선 사용하고 싶은 맘이 뚝 떨어집니다."
2025년 11월 7일,5,주문하면 최소 2시간. 다 불어터진 음식. 고객센터 전화해도 연결하는데 1시간. 답변오는데 1시간. 문의량이 많은 시간에는 이해해달라는데 피크시간도 아니었고 애초에 문의량이 많게 된 원인을 해결할 의지도 안 보여요. 경쟁 앱들이 다 치고나오는 마당에 운영에 대한 의지가 없으신 건지 ㅎㅎ.. 이제 사용할 일이 없을 것 같습니다.
2025년 10월 4일,5,이거 편의점 주문할때 교차상품 있는거 담으면 그거 재고수량 부족해서 다 못 담으면(2+1일때 2개만 담을 경우 등) 주문하기 누르면 자꾸 교차상품 담을 수 있다면서 장바구니로 강제로 넘어가서 결제창으로 못 넘어감. 아니 재고가 없다면서요 재고가 없는데 그럼 없는 걸 담아요? 무슨 아메리칸식 블랙유머도 아니고 장난하나
2025년 10월 15일,5,"10년 넘게 매일 배달 음식을 먹고 있는 유저입니다. 대체로 잘 사용하고 있습니다만, 얼마전 한집배달과 알뜰배달의 비용이 같을시 자동으로 한집배달로 선택되던 기능이 소리소문없이 사라졌네요. 해당 기능이 원래 없었다면 모를까, 갑자기 없어진건 조금이라도 비용을 줄이려고 하는 의도밖에는 안되잖아요. 소비자 중심적이던 경험을 변질시키지 말아주시고 소비자를 이런식으로 기만하지 말아주세요."
2025년 11월 2일,5,"배민 회원인데, 가게배달이랑 픽업 2개만 분명 떴었는데, 배달중일 때 어쩌다 같은가게 다른메뉴 장바구니에 넣다가 알뜰 가게 픽업 3개 생겨있네요 유료가게배달했는데 무료알뜰로 가격 더 저렴하게 뜨는 거 보고 바로 배민클럽도 그냥 해지합니다. 시스템문제인지 뭔지모르겠지만요"
2025년 10월 20일,5,"가게 들어가기전부터 사진 크게 나오게 바뀐 이후로 너무 불편해졌습니다. 롤백좀 안됩니까? 옆으로 넘기고 싶은데 위로 올라가고, 또 옆으로 넘기고 싶은데 사진이 넘어가고, 위로 올리고 싶을때는 옆으로 넘어가고. 제발 쓸데없는짓 좀 하지말고 그냥 가만히좀 냅두시면 안됩니까?? 배민은 처음 나왔을 때 제일 완벽했고 그 이후로 계속 불편해지기만 하고있습니다."
2025년 10월 17일,5,음식이 오지도 않았는데 완료떠서 음식점 전화했더니 배민측에 연락해야 한데서 고객센터 연락했더니 30분이지나도록 통화량이 많아 기다려달라는 말만 되풀이 되면서 통화가 안됨!! 음식점 다시 전화했더니 라이더정보는 배민측이라 알수 없다함! 음식점에선 다시 주문 넣으시면 금방해서 다시 가져다 주신다는데..그럼 2중 결제지 않냐는 말을 할수 밖에 없었고~음식점에선 무조건 고객센터 연결해서 전에 주문한거 환불 받아야된다함!! 지금도 고객센터 연결중인데 아직도 통화량이 많다는 말만 되풀이~징허다 배민!!음식점에서도 라이더 정보를 알수 있게 해야지~고객만 호구된것 같음!!어쩔수 없이 환불 받으려고 아직도 연결중인데 개짜증!!
2025년 10월 19일,5,첫주문쿠폰ㅋㅋ.. 첫 가입하면 일주일 동안 언제나 쓸 수 있는 게 아니라 말 그대로 첫 배달 주문에만 사용할 수 있었네요? ㅋㅋ큐ㅜ 좀 제대로 크게 명시 좀 해주시지ㅜㅜ 딴 건 다 색깔로 진~~하게 해놓고 이 내용만 흐리멍덩~하게ᅮᅮᅲ 전 제가 그새 난독이라도 생겨서 못 봤나 했는데 제 지인 중에도 못 쓴 분들 많네요ㅋㅋㅋ 당황스럽게 진짜.. 번창하세요!
2025년 11월 2일,5,배달의 민족은 고객센터 문의할 때마다 상담원들이 일하기 싫은건지 아니면 교육을 제대로 못 받은건지 제대로된 확인도 하지 않고 상담하는 기분입니다. 불만 제기하면 허구헌날 별로 쓸데도 없는 쿠폰 준다고나 하고 상급자 통해서 정확한 확인 후 안내해달라니 연결 요청하지도 않았는데 갑자기 원하면 연결해줄 수 있는데 며칠 소요된다하질 않나;; 애초에 상담을 얼마나 제대로 못했길래 민원인이 많아 상급자 연락 받기까지 며칠이나 기다려야하는지도 이해 안가고 상담사가 제대로 안내 안한 부분을 팩트로 하나하나 얘기하니까 비꼬는 것도 아니고 죄~~송합니다 이러면서 매번 고객 니즈 파악도 못하는데 CS 교육 진짜 다시 시키세요 고객이랑 기 싸움 하자는 것도 아니고 문의할 때마다 오히려 기분이 더 상합니다. 걍 배민 지우렵니다;;
2025년 9월 23일,5,"어플이 자동 업데이트 되면서 충돌이 있거나 오류가 있는지 배달,픽업이 가능한 가게목록이 뜨지 않고 '화면을 불러오지 못했습니다' 라는 페이지만 계속 뜨고 있습니다. 캐시 랑 데이터 삭제, 어플 재설치, 탈퇴후에도 똑같습니다. 해결해주세요"
